"gu","year","area","price"
"노원구",2016,59.75,540
"노원구",2016,84.93,730
"노원구",2016,84.04,650
"노원구",2016,59.75,519
"노원구",2016,59.96,584
"노원구",2016,17.27,176
"노원구",2016,59.75,565
"노원구",2017,84.82,520
"노원구",2017,84.82,570
"노원구",2017,84.91,570
"노원구",2018,59.84,392
"노원구",2018,59.84,396
"노원구",2018,84.98,580
"노원구",2019,59.99,599
"동대문구",1978,170.35,1220
"동대문구",1978,137.42,1005
"동대문구",1978,101.62,890
"동대문구",1978,101.65,910
"동대문구",1984,95.39,550
"동대문구",1984,95.39,530
"동대문구",1984,95.45,585
"동대문구",1985,85.92,430
"동대문구",1989,55.89,508
"동대문구",1992,44.24,320
"동대문구",1992,59.78,420
"동대문구",1992,44.35,355
"동대문구",1992,84.84,535
"동대문구",1992,44.35,350
"동대문구",1992,59.78,400
"동대문구",1994,58.59,472
"동대문구",1996,84.9,517
"동대문구",1997,57.9,522
"동대문구",1997,84.98,520
"동대문구",1997,114.95,785
"동대문구",1997,59.97,520
"동대문구",1997,59.97,528
"동대문구",1997,84.92,600
"동대문구",1997,59.97,507
"동대문구",1997,57.9,530
"동대문구",1997,59.97,535
"동대문구",1997,84.92,700
"동대문구",1998,155.66,693
"동대문구",1999,59.84,480
"동대문구",1999,59.84,460
"동대문구",2000,59.99,500
"동대문구",2000,59.34,599
"동대문구",2000,59.85,451
"동대문구",2000,59.92,440
"동대문구",2000,59.96,560
"동대문구",2000,84.89,585
"동대문구",2000,59.93,560
"동대문구",2000,84.89,508
"동대문구",2000,59.92,407
"동대문구",2000,114.3,720
"동대문구",2000,84.95,665
"동대문구",2000,84.83,600
"동대문구",2000,84.94,598
"동대문구",2000,84.89,545
"동대문구",2000,84.95,665
"동대문구",2000,84.84,665
"동대문구",2000,84.83,540
"동대문구",2000,59.99,480
"동대문구",2000,84.95,670
"동대문구",2000,59.34,555
"동대문구",2000,84.98,630
"동대문구",2000,76.86,299
"동대문구",2000,59.74,510
"동대문구",2000,84.99,450
"동대문구",2000,84.95,630
"동대문구",2000,114.3,700
"동대문구",2000,84.94,610
"동대문구",2001,84.86,570
"동대문구",2001,59.79,470
"동대문구",2001,84.82,550
"동대문구",2001,59.92,515
"동대문구",2001,149.93,590
"동대문구",2001,39.98,331
"동대문구",2001,84.89,595
"동대문구",2001,59.79,452
"동대문구",2001,84.89,598
"동대문구",2001,39.98,330
"동대문구",2001,84.86,578
"동대문구",2001,84.73,565
"동대문구",2001,84.86,545
"동대문구",2001,39.98,339
"동대문구",2001,39.97,300
"동대문구",2001,114.96,700
"동대문구",2002,59.4,473
"동대문구",2002,78.92,398
"동대문구",2003,84.87,678
